participant,expectancy,owner,rt,accuracy
P1,self,self,304.774413,1
P1,self,self,510.536656,1
P1,self,self,434.5145,1
P1,self,self,392.869293,0
P1,self,self,354.626405,1
P1,self,self,348.649485,1
P1,self,self,355.992248,1
P1,self,self,431.607831,1
P1,self,self,295.065354,1
P1,self,self,703.725884,1
P1,self,self,399.274734,0
P1,self,self,710.888931,1
P1,self,self,288.987501,1
P1,self,self,439.203923,1
P1,self,self,457.64309,1
P1,self,self,450.290114,1
P1,self,self,367.374622,1
P1,self,self,728.435866,0
P1,self,self,606.298869,1
P1,self,self,365.286539,1
P1,self,self,332.246476,1
P1,self,self,581.769957,1
P1,self,self,306.463328,1
P1,self,self,283.19674,1
P1,self,self,329.227262,1
P1,self,self,334.903279,1
P1,self,self,310.721519,1
P1,self,self,395.700308,1
P1,self,self,314.983582,1
P1,self,self,430.666702,1
P1,self,self,433.591426,1
P1,self,self,291.07621,1
P1,self,self,392.773682,1
P1,self,self,244.720581,1
P1,self,self,311.992309,1
P1,self,self,452.000804,1
P1,self,self,432.927692,1
P1,self,self,609.728691,1
P1,self,self,531.312177,0
P1,self,self,266.620025,1
P1,self,self,267.476394,1
P1,self,self,373.628355,1
P1,self,self,339.011364,1
P1,self,self,490.750464,1
P1,self,self,465.884549,1
P1,self,self,329.809235,1
P1,self,self,505.454269,1
P1,self,self,387.163823,1
P1,self,self,806.662533,1
P1,self,self,696.678051,1
P1,self,self,272.214233,1
P1,self,self,462.520098,1
P1,self,self,566.66895,1
P1,self,self,417.915704,1
P1,self,self,608.279555,1
P1,self,self,282.726187,1
P1,self,self,398.065196,1
P1,self,self,600.951066,1
P1,self,self,456.911113,1
P1,self,self,978.622466,1
P1,self,self,533.836673,1
P1,self,self,274.466703,1
P1,self,self,332.759875,1
P1,self,self,335.087748,1
P1,self,self,373.08155,1
P1,self,self,367.198907,1
P1,self,self,308.566702,1
P1,self,self,358.541676,1
P1,self,self,410.742459,1
P1,self,self,440.067889,1
P1,self,self,441.052815,1
P1,self,self,380.131031,1
P1,self,self,248.114019,1
P1,self,self,753.748721,1
P1,self,self,251.418415,1
P1,self,self,761.402637,1
P1,self,self,351.733878,1
P1,self,self,296.864212,1
P1,self,self,329.165638,1
P1,self,self,385.71742,1
P1,self,self,633.875266,1
P1,self,self,460.372992,1
P1,self,self,599.768913,1
P1,self,self,487.011094,1
P1,self,self,293.615133,1
P1,self,self,417.105428,1
P1,self,self,323.622783,1
P1,self,self,314.061741,1
P1,self,self,417.012741,1
P1,self,self,456.866179,1
P1,self,self,258.287975,1
P1,self,self,389.105603,1
P1,self,self,346.594085,1
P1,self,self,528.612357,1
P1,self,self,495.13105,1
P1,self,self,519.333866,1
P1,self,self,553.785439,1
P1,self,self,386.394806,1
P1,self,self,623.242073,1
P1,self,self,391.942141,1
P1,self,self,282.119973,1
P1,self,self,505.754684,1
P1,self,self,383.775538,1
P1,self,self,332.116834,1
P1,self,self,457.698819,1
P1,self,self,436.288177,1
P1,self,self,499.861892,1
P1,self,self,702.253538,1
P1,self,self,416.242135,1
P1,self,self,433.527333,1
P1,self,self,498.52056,1
P1,self,self,415.513684,1
P1,self,self,352.986578,1
P1,self,self,503.191532,1
P1,self,self,493.336355,1
P1,self,self,350.051956,1
P1,self,self,470.167463,1
P1,self,self,538.130871,1
P1,self,self,281.628804,1
P1,self,self,376.807979,1
P1,self,self,349.268721,1
