participant,expectancy,owner,rt,accuracy
P1,self,self,365.719747,1
P1,self,self,326.672143,1
P1,self,self,356.209013,1
P1,self,self,396.231526,1
P1,self,self,343.596144,0
P1,self,self,422.916261,1
P1,self,self,800.134045,1
P1,self,self,624.482808,1
P1,self,self,410.257117,1
P1,self,self,362.095749,1
P1,self,self,367.834614,0
P1,self,self,394.007294,1
P1,self,self,309.837415,1
P1,self,self,499.846567,1
P1,self,self,370.112184,1
P1,self,self,273.582407,1
P1,self,self,377.735073,1
P1,self,self,470.965705,1
P1,self,self,554.59979,1
P1,self,self,362.462982,1
P1,self,self,438.607921,1
P1,self,self,738.105551,1
P1,self,self,814.049463,0
P1,self,self,481.993159,1
P1,self,self,475.318557,1
P1,self,self,373.085997,1
P1,self,self,481.913767,1
P1,self,self,470.075529,1
P1,self,self,512.316159,1
P1,self,self,352.204701,1
P1,self,self,482.15051,1
P1,self,self,411.581723,1
P1,self,self,365.034739,0
P1,self,self,320.123801,1
P1,self,self,326.060372,1
P1,self,self,577.391042,1
P1,self,self,590.556496,1
P1,self,self,469.286286,0
P1,self,self,366.176955,1
P1,self,self,450.311158,1
P1,self,self,266.338086,1
P1,self,self,351.203653,1
P1,self,self,443.761492,1
P1,self,self,403.35084,1
P1,self,self,562.421171,1
P1,self,self,354.810536,1
P1,self,self,757.372306,1
P1,self,self,264.86015,1
P1,self,self,457.81773,1
P1,self,self,367.90888,1
P1,self,self,557.954293,1
P1,self,self,361.043147,0
P1,self,self,302.532456,1
P1,self,self,334.399186,1
P1,self,self,417.208952,1
P1,self,self,313.411691,1
P1,self,self,378.105415,0
P1,self,self,253.936723,1
P1,self,self,442.893665,0
P1,self,self,615.190579,1
P1,self,self,480.256894,1
P1,self,self,343.892456,1
P1,self,self,381.397184,1
P1,self,self,449.673602,1
P1,self,self,349.195421,1
P1,self,self,342.467708,1
P1,self,self,436.131752,1
P1,self,self,428.135259,1
P1,self,self,525.552117,1
P1,self,self,459.335358,1
P1,self,self,314.825487,1
P1,self,self,383.681605,1
P1,self,self,365.977034,1
P1,self,self,327.362519,1
P1,self,self,334.359109,1
P1,self,self,336.712681,1
P1,self,self,445.531116,1
P1,self,self,318.901792,1
P1,self,self,353.042779,1
P1,self,self,387.822346,1
P1,self,self,262.563361,1
P1,self,self,1001.203097,1
P1,self,self,345.339001,1
P1,self,self,382.879418,1
P1,self,self,716.811923,1
P1,self,self,622.238695,1
P1,self,self,521.152023,1
P1,self,self,364.175165,1
P1,self,self,410.207981,1
P1,self,self,569.304248,1
P1,self,self,376.394477,1
P1,self,self,662.478394,1
P1,self,self,450.672791,1
P1,self,self,474.889286,1
P1,self,self,387.889075,1
P1,self,self,363.5154,1
P1,self,self,316.346717,1
P1,self,self,544.745179,1
P1,self,self,686.093337,1
P1,self,self,332.009534,1
P1,self,self,304.445897,1
P1,self,self,528.768014,1
P1,self,self,367.65127,1
P1,self,self,408.283596,1
P1,self,self,439.634623,1
P1,self,self,332.006242,1
P1,self,self,1196.869783,1
P1,self,self,490.463734,1
P1,self,self,555.603391,1
P1,self,self,694.616091,1
P1,self,self,466.3338,1
P1,self,self,360.039518,1
P1,self,self,400.043379,1
P1,self,self,260.568089,1
P1,self,self,317.447048,1
P1,self,self,358.507405,1
P1,self,self,258.408678,1
P1,self,self,356.201822,1
P1,self,self,635.938899,1
P1,self,self,311.003756,1
P1,self,self,446.649895,1
P1,self,self,502.039953,1
P1,self,self,312.163757,1
P1,self,self,401.258168,1
P1,self,self,303.143026,1
P1,self,self,544.768536,1
P1,self,self,375.074709,1
P1,self,self,303.063002,1
P1,self,self,447.04321,1
P1,self,self,562.285326,1
P1,self,self,727.549316,1
P1,self,self,365.2471,1
P1,self,self,447.744065,1
P1,self,self,504.537023,1
P1,self,self,953.330614,1
P1,self,self,333.928832,1
P1,self,self,493.33496,1
P1,self,self,546.95797,1
P1,self,self,384.641421,1
P1,self,self,670.964534,1
P1,self,self,429.74858,1
P1,self,self,328.217603,1
P1,self,self,476.735041,1
P1,self,self,327.881849,1
P1,self,self,331.512397,1
P1,self,self,269.698631,1
P1,self,self,303.242445,1
P1,self,self,605.835242,1
P1,self,self,279.062783,1
P1,self,self,660.012125,1
P1,self,self,427.037978,0
P1,self,self,446.308746,1
P1,self,self,362.964765,1
P1,self,self,358.741365,1
P1,self,self,310.404909,1
P1,self,self,314.295763,1
P1,self,self,246.184077,1
P1,self,self,333.017956,1
P1,self,self,336.995829,1
P1,self,self,431.355247,1
P1,self,self,320.058461,1
P1,self,self,445.940562,1
P1,self,self,421.480244,1
P1,self,self,611.536252,1
P1,self,self,381.202242,1
P1,self,self,772.173754,1
P1,self,self,362.177812,1
P1,self,self,330.097386,1
P1,self,friend,392.000196,1
P1,self,friend,372.10821,1
P1,self,friend,654.413629,1
P1,self,friend,427.03148,1
P1,self,friend,374.859071,1
P1,self,friend,380.524277,1
P1,self,friend,1260.303026,0
P1,self,friend,453.5144,1
P1,self,friend,602.311927,1
P1,self,friend,445.225592,1
P1,self,friend,768.800616,1
P1,self,friend,361.836472,1
P1,self,friend,476.093078,1
P1,self,friend,365.945644,1
P1,self,friend,307.934457,1
P1,self,friend,440.011135,0
P1,self,friend,538.071023,1
P1,self,friend,422.574576,1
P1,self,friend,578.703143,1
