,Mean,2.5q,97.5q
a(equal),1.310566258048452,1.2852142583752464,1.3376355580107904
a(none),1.3710392117625354,1.3426945831370758,1.3993669377526308
a_std,0.0460880222154252,0.020910606559947517,0.06839537155266094
a_subj(equal).29,1.333925360473346,1.2654608097052928,1.4124068894557413
a_subj(equal).30,1.3668610883434877,1.2928203211990066,1.4571671917018518
a_subj(equal).31,1.3392307052668544,1.2724629783182675,1.4179634799522123
a_subj(equal).32,1.2887033176291143,1.218473108282574,1.3579144162178922
a_subj(equal).34,1.2740303125648333,1.1983354798730386,1.3462872006763473
a_subj(equal).35,1.2917352184293358,1.2163541158460318,1.364727918924166
a_subj(equal).36,1.2938977942764558,1.2165744005749226,1.3690475708719771
a_subj(equal).37,1.2837287061774314,1.2058829515962752,1.3591348163498043
a_subj(equal).38,1.294626107630167,1.223083979707977,1.3676155757085913
a_subj(equal).39,1.309234197609711,1.2393263096368676,1.3825345639551747
a_subj(equal).40,1.3083383329553036,1.236945051922035,1.3814724757430659
a_subj(equal).41,1.3244136213260358,1.2524648386596535,1.403820897954863
a_subj(equal).42,1.2938794469584889,1.219009578808453,1.3674707188000352
a_subj(equal).43,1.314452134303978,1.246252502308105,1.3860531737556117
a_subj(equal).45,1.3277177874011976,1.2610821531473673,1.4038940868298646
a_subj(equal).46,1.3916094517548863,1.3071091716647363,1.4884519444347668
a_subj(equal).47,1.3195020718345365,1.2524379988509706,1.3923732022601487
a_subj(equal).48,1.2969568789041195,1.226054717601141,1.3668193736459444
a_subj(equal).49,1.323897015133005,1.256378145555833,1.3991090161415105
a_subj(equal).50,1.3109373866056933,1.2433123373931732,1.3838861622209875
a_subj(equal).51,1.3353497502240679,1.2648472285905163,1.4124604792338062
a_subj(equal).52,1.2619136321778774,1.1894343335798745,1.3322979425418637
a_subj(equal).53,1.2574701551315273,1.1826118924285764,1.327103338429927
a_subj(equal).54,1.3084463413455487,1.2388631321789045,1.3802599612418638
a_subj(equal).56,1.3076970790994007,1.236852862114737,1.3820737841836257
a_subj(equal).57,1.3004703591783175,1.226649820343654,1.3760486105556389
a_subj(equal).58,1.311526368396038,1.2429496534494704,1.3847258714444632
