,Mean,2.5q,97.5q
v(friend_friend),-2.125204969860548,-2.2150633765573122,-2.026829584317823
v(friend_self),2.960382634977014,2.8772451800681202,3.062143577559778
v(self_friend),-2.9107306939339366,-2.98036447696897,-2.8365123887384027
v(self_self),2.931809349650708,2.8043255918833325,3.027662940475223
v_std,0.031322985394493984,0.0025604239235204867,0.09561933813331414
v_subj(friend_friend).0,-2.1102582385289095,-2.2186904960593656,-1.9502530955229018
v_subj(friend_friend).1,-2.129136290633697,-2.2516823452031076,-1.9995777996033395
v_subj(friend_friend).2,-2.125281238453149,-2.234917214500926,-1.9955416906983974
v_subj(friend_friend).3,-2.1205612391600748,-2.228568993000141,-1.9861643916166676
v_subj(friend_friend).4,-2.122178157446959,-2.2320678582298226,-1.9865086471875903
v_subj(friend_friend).5,-2.123196524074371,-2.237168928148555,-1.9860899445984848
v_subj(friend_friend).6,-2.1193955343737483,-2.2261221837921674,-1.981516862003072
v_subj(friend_friend).7,-2.1236279392967057,-2.240307270375934,-1.9894945457275461
v_subj(friend_friend).8,-2.1333786084262116,-2.2615994411090794,-2.0111741780282055
v_subj(friend_friend).9,-2.1199128830454352,-2.227523214978625,-1.9835075737499817
v_subj(friend_friend).10,-2.124588904023236,-2.23824624919675,-1.9833433489575039
v_subj(friend_friend).11,-2.1234021692628424,-2.235908480604624,-1.9907100322978022
v_subj(friend_friend).12,-2.1252168641283378,-2.237612972004624,-1.9941487256697052
v_subj(friend_friend).13,-2.130543662578256,-2.253146767374556,-2.006157337717466
v_subj(friend_friend).14,-2.126905632403586,-2.243047357614694,-1.9977492591577068
v_subj(friend_friend).15,-2.1366587912242405,-2.2723550264137624,-2.0121378652559017
v_subj(friend_friend).16,-2.1266988367511295,-2.2413687184965356,-1.9983833757220053
v_subj(friend_friend).17,-2.115059099068744,-2.2199632991653537,-1.969558925104994
v_subj(friend_friend).18,-2.127771025043766,-2.2486281653343223,-1.9976328034521764
v_subj(friend_friend).19,-2.122705975243027,-2.2325117801634238,-1.9894809416102353
v_subj(friend_friend).20,-2.130741350982112,-2.2526020643912688,-2.0054654201272
v_subj(friend_friend).21,-2.133294859304212,-2.263110807311638,-2.0119879548399404
v_subj(friend_friend).22,-2.129045076991591,-2.2467221954023353,-2.004801149291987
v_subj(friend_friend).23,-2.1255361301216227,-2.243920034109644,-1.9932646049436435
v_subj(friend_friend).24,-2.119722216431788,-2.2270364391682564,-1.9805259739688341
v_subj(friend_friend).25,-2.1295810741751993,-2.249773978655025,-2.0008662624895415
v_subj(friend_friend).26,-2.1299058412694594,-2.247400744453628,-2.0061961000047317
v_subj(friend_friend).27,-2.126102315130329,-2.2387421438533277,-2.001247656674543
v_subj(friend_friend).28,-2.123777351483015,-2.2413690527131864,-1.9903748467096014
v_subj(friend_friend).29,-2.1222434834564603,-2.2336889099825497,-1.9839627278872394
v_subj(friend_friend).30,-2.1276426173542853,-2.246508957442737,-1.999240516195948
v_subj(friend_friend).31,-2.12378670229222,-2.2341075631977643,-1.989798932272453
v_subj(friend_self).0,2.940953566576465,2.8007349329995486,3.0628377995828937
v_subj(friend_self).1,2.959783648226672,2.8448219961673775,3.0690693014416652
v_subj(friend_self).2,2.953694402510239,2.832316912563979,3.065781416870782
v_subj(friend_self).3,2.958854257935108,2.8434059239780356,3.069926560450639
v_subj(friend_self).4,2.9508102512297167,2.8287952874747395,3.0643923793791115
v_subj(friend_self).5,2.9568002950769245,2.8416438453444877,3.0673351635675052
v_subj(friend_self).6,2.9624848901897876,2.8547431381307447,3.068297883963966
v_subj(friend_self).7,2.9742926428938783,2.868080478773241,3.093992754630808
v_subj(friend_self).8,2.965864556049754,2.856119789483104,3.0731491063436693
v_subj(friend_self).9,2.956467382039691,2.840499881645189,3.0673669165017117
v_subj(friend_self).10,2.96270976749989,2.851217715655899,3.069794804191451
v_subj(friend_self).11,2.9567010763820742,2.8367341538040263,3.0669875282591232
v_subj(friend_self).12,2.9561116660765183,2.839759610816226,3.0667739824591695
v_subj(friend_self).13,2.9623509458048787,2.850156041836117,3.07110337532165
v_subj(friend_self).14,2.961073706971366,2.849964361556948,3.0699911251578165
v_subj(friend_self).15,2.9647369300093933,2.8536855323965145,3.0712486092149844
v_subj(friend_self).16,2.962629315299689,2.853527528475266,3.0714533784028566
